Ticker,Name,Market Cap,Date
INTC,Intel Corp,95183760000,2024-10-03
MELI,"Mercado Libre, Inc",99326428366,2024-10-03
FANG,"Diamondback Energy, Inc.",55123411432,2024-10-03
MNST,Monster Beverage Corporation,52736554989,2024-10-03
AEP,"American Electric Power Company, Inc.",53941003893,2024-10-03
PAYX,Paychex Inc,50155388207,2024-10-03
DDOG,"Datadog, Inc. Class A Common Stock",39625506881,2024-10-03
FITB,Fifth Third Bancorp,28212696775,2024-10-03
ALNY,"Alnylam Pharmaceuticals, Inc.",34602399669,2024-10-03
UAL,"United Airlines Holdings, Inc. Common Stock",18289741907,2024-10-03
GGAL,Grupo Financiero Galicia SA,5179126030,2024-10-04
NVDA,Nvidia Corp,3.06E+12,2024-10-04
AAPL,Apple Inc.,3.45E+12,2024-10-04
AMZN,Amazon.Com Inc,1.96E+12,2024-10-04
META,"Meta Platforms, Inc. Class A Common Stock",1.51E+12,2024-10-04
CRESY,Cresud SA,534620423.7,2024-10-04
AVGO,Broadcom Inc. Common Stock,8.25E+11,2024-10-04
APP,Applovin Corporation Class A Common Stock,46681157660,2024-10-04
MU,"Micron Technology, Inc.",1.13E+11,2024-10-04
ADI,"Analog Devices, Inc.",1.13E+11,2024-10-04
INTC,Intel Corp,96594840000,2024-10-04
MELI,"Mercado Libre, Inc",99366986320,2024-10-04
FANG,"Diamondback Energy, Inc.",56970616563,2024-10-04
MNST,Monster Beverage Corporation,53407423508,2024-10-04
AEP,"American Electric Power Company, Inc.",53360993099,2024-10-04
PAYX,Paychex Inc,49899860612,2024-10-04
DDOG,"Datadog, Inc. Class A Common Stock",41365212620,2024-10-04
FITB,Fifth Third Bancorp,28456026215,2024-10-04
ALNY,"Alnylam Pharmaceuticals, Inc.",34404693679,2024-10-04
UAL,"United Airlines Holdings, Inc. Common Stock",19473543973,2024-10-04
GGAL,Grupo Financiero Galicia SA,5063610917,2024-10-07
NVDA,Nvidia Corp,3.13E+12,2024-10-07
AAPL,Apple Inc.,3.37E+12,2024-10-07
AMZN,Amazon.Com Inc,1.90E+12,2024-10-07
META,"Meta Platforms, Inc. Class A Common Stock",1.48E+12,2024-10-07
CRESY,Cresud SA,528653677.9,2024-10-07
AVGO,Broadcom Inc. Common Stock,8.18E+11,2024-10-07
APP,Applovin Corporation Class A Common Stock,46778089751,2024-10-07
MU,"Micron Technology, Inc.",1.14E+11,2024-10-07
ADI,"Analog Devices, Inc.",1.12E+11,2024-10-07
INTC,Intel Corp,95696880000,2024-10-07
MELI,"Mercado Libre, Inc",99530739058,2024-10-07
FANG,"Diamondback Energy, Inc.",58402127354,2024-10-07
MNST,Monster Beverage Corporation,51614946684,2024-10-07
AEP,"American Electric Power Company, Inc.",52179686710,2024-10-07
PAYX,Paychex Inc,49464384006,2024-10-07
DDOG,"Datadog, Inc. Class A Common Stock",41260695415,2024-10-07
FITB,Fifth Third Bancorp,28496581122,2024-10-07
ALNY,"Alnylam Pharmaceuticals, Inc.",34248069453,2024-10-07
UAL,"United Airlines Holdings, Inc. Common Stock",19460390616,2024-10-07
GGAL,Grupo Financiero Galicia SA,5261296574,2024-10-08
NVDA,Nvidia Corp,3.26E+12,2024-10-08
AAPL,Apple Inc.,3.43E+12,2024-10-08
AMZN,Amazon.Com Inc,1.92E+12,2024-10-08
META,"Meta Platforms, Inc. Class A Common Stock",1.50E+12,2024-10-08
CRESY,Cresud SA,539393820.3,2024-10-08
AVGO,Broadcom Inc. Common Stock,8.44E+11,2024-10-08
APP,Applovin Corporation Class A Common Stock,47968014720,2024-10-08
MU,"Micron Technology, Inc.",1.14E+11,2024-10-08
ADI,"Analog Devices, Inc.",1.14E+11,2024-10-08
INTC,Intel Corp,99716320000,2024-10-08
MELI,"Mercado Libre, Inc",1.02E+11,2024-10-08
FANG,"Diamondback Energy, Inc.",56724712869,2024-10-08
MNST,Monster Beverage Corporation,51877004699,2024-10-08
AEP,"American Electric Power Company, Inc.",52254183509,2024-10-08
PAYX,Paychex Inc,49723510581,2024-10-08
DDOG,"Datadog, Inc. Class A Common Stock",41712479463,2024-10-08
FITB,Fifth Third Bancorp,28381675553,2024-10-08
ALNY,"Alnylam Pharmaceuticals, Inc.",34815511320,2024-10-08
UAL,"United Airlines Holdings, Inc. Common Stock",19733322759,2024-10-08
GGAL,Grupo Financiero Galicia SA,5547107162,2024-10-09
NVDA,Nvidia Corp,3.25E+12,2024-10-09
AAPL,Apple Inc.,3.49E+12,2024-10-09
AMZN,Amazon.Com Inc,1.94E+12,2024-10-09
META,"Meta Platforms, Inc. Class A Common Stock",1.49E+12,2024-10-09
CRESY,Cresud SA,556697383.1,2024-10-09
AVGO,Broadcom Inc. Common Stock,8.68E+11,2024-10-09
APP,Applovin Corporation Class A Common Stock,47931247376,2024-10-09
MU,"Micron Technology, Inc.",1.13E+11,2024-10-09
ADI,"Analog Devices, Inc.",1.16E+11,2024-10-09
INTC,Intel Corp,1.00E+11,2024-10-09
MELI,"Mercado Libre, Inc",1.04E+11,2024-10-09
FANG,"Diamondback Energy, Inc.",56718858019,2024-10-09
MNST,Monster Beverage Corporation,52170509676,2024-10-09
AEP,"American Electric Power Company, Inc.",51998765911,2024-10-09
PAYX,Paychex Inc,50328139257,2024-10-09
DDOG,"Datadog, Inc. Class A Common Stock",42197978739,2024-10-09
FITB,Fifth Third Bancorp,28814261225,2024-10-09
ALNY,"Alnylam Pharmaceuticals, Inc.",34778280972,2024-10-09
UAL,"United Airlines Holdings, Inc. Common Stock",19542599093,2024-10-09
GGAL,Grupo Financiero Galicia SA,5709066495,2024-10-10
NVDA,Nvidia Corp,3.31E+12,2024-10-10
AAPL,Apple Inc.,3.48E+12,2024-10-10
AMZN,Amazon.Com Inc,1.96E+12,2024-10-10
META,"Meta Platforms, Inc. Class A Common Stock",1.48E+12,2024-10-10
CRESY,Cresud SA,570420898.5,2024-10-10
AVGO,Broadcom Inc. Common Stock,8.67E+11,2024-10-10
APP,Applovin Corporation Class A Common Stock,48412565341,2024-10-10
MU,"Micron Technology, Inc.",1.17E+11,2024-10-10
ADI,"Analog Devices, Inc.",1.14E+11,2024-10-10
INTC,Intel Corp,99288720000,2024-10-10
MELI,"Mercado Libre, Inc",1.03E+11,2024-10-10
FANG,"Diamondback Energy, Inc.",56809608192,2024-10-10
MNST,Monster Beverage Corporation,53218741737,2024-10-10
AEP,"American Electric Power Company, Inc.",51732705914,2024-10-10
PAYX,Paychex Inc,50130195345,2024-10-10
DDOG,"Datadog, Inc. Class A Common Stock",43860139455,2024-10-10
FITB,Fifth Third Bancorp,28841297829,2024-10-10
ALNY,"Alnylam Pharmaceuticals, Inc.",35769378532,2024-10-10
UAL,"United Airlines Holdings, Inc. Common Stock",19815531236,2024-10-10
GGAL,Grupo Financiero Galicia SA,5926997069,2024-10-11
NVDA,Nvidia Corp,3.31E+12,2024-10-11
AAPL,Apple Inc.,3.46E+12,2024-10-11
AMZN,Amazon.Com Inc,1.98E+12,2024-10-11
META,"Meta Platforms, Inc. Class A Common Stock",1.49E+12,2024-10-11
CRESY,Cresud SA,566840851,2024-10-11
AVGO,Broadcom Inc. Common Stock,8.48E+11,2024-10-11
APP,Applovin Corporation Class A Common Stock,49134542289,2024-10-11
MU,"Micron Technology, Inc.",1.19E+11,2024-10-11
ADI,"Analog Devices, Inc.",1.16E+11,2024-10-11
INTC,Intel Corp,1.01E+11,2024-10-11
MELI,"Mercado Libre, Inc",1.06E+11,2024-10-11
FANG,"Diamondback Energy, Inc.",57073076435,2024-10-11
MNST,Monster Beverage Corporation,53784787050,2024-10-11
AEP,"American Electric Power Company, Inc.",52280789509,2024-10-11
PAYX,Paychex Inc,49986236137,2024-10-11
DDOG,"Datadog, Inc. Class A Common Stock",43765736818,2024-10-11
FITB,Fifth Third Bancorp,29632118510,2024-10-11
ALNY,"Alnylam Pharmaceuticals, Inc.",36501147456,2024-10-11
UAL,"United Airlines Holdings, Inc. Common Stock",20321935453,2024-10-11
GGAL,Grupo Financiero Galicia SA,5887698113,2024-10-14
NVDA,Nvidia Corp,3.39E+12,2024-10-14
AAPL,Apple Inc.,3.52E+12,2024-10-14
AMZN,Amazon.Com Inc,1.97E+12,2024-10-14
META,"Meta Platforms, Inc. Class A Common Stock",1.49E+12,2024-10-14
CRESY,Cresud SA,567437525.6,2024-10-14
AVGO,Broadcom Inc. Common Stock,8.51E+11,2024-10-14
APP,Applovin Corporation Class A Common Stock,48566319691,2024-10-14
MU,"Micron Technology, Inc.",1.20E+11,2024-10-14
ADI,"Analog Devices, Inc.",1.17E+11,2024-10-14
INTC,Intel Corp,1.00E+11,2024-10-14
MELI,"Mercado Libre, Inc",1.05E+11,2024-10-14
FANG,"Diamondback Energy, Inc.",55825993415,2024-10-14
MNST,Monster Beverage Corporation,54172632912,2024-10-14
AEP,"American Electric Power Company, Inc.",52568134306,2024-10-14
PAYX,Paychex Inc,51231483289,2024-10-14
DDOG,"Datadog, Inc. Class A Common Stock",43533101748,2024-10-14
FITB,Fifth Third Bancorp,29956557764,2024-10-14
ALNY,"Alnylam Pharmaceuticals, Inc.",36372766943,2024-10-14
UAL,"United Airlines Holdings, Inc. Common Stock",20890818112,2024-10-14
GGAL,Grupo Financiero Galicia SA,5912706539,2024-10-15
NVDA,Nvidia Corp,3.23E+12,2024-10-15
AAPL,Apple Inc.,3.56E+12,2024-10-15
AMZN,Amazon.Com Inc,1.97E+12,2024-10-15
META,"Meta Platforms, Inc. Class A Common Stock",1.48E+12,2024-10-15
CRESY,Cresud SA,557294057.7,2024-10-15
AVGO,Broadcom Inc. Common Stock,8.22E+11,2024-10-15
APP,Applovin Corporation Class A Common Stock,48068289296,2024-10-15
MU,"Micron Technology, Inc.",1.16E+11,2024-10-15
ADI,"Analog Devices, Inc.",1.12E+11,2024-10-15
INTC,Intel Corp,96894160000,2024-10-15
MELI,"Mercado Libre, Inc",1.03E+11,2024-10-15
FANG,"Diamondback Energy, Inc.",52626317967,2024-10-15
MNST,Monster Beverage Corporation,55157971050,2024-10-15
AEP,"American Electric Power Company, Inc.",53031078702,2024-10-15
PAYX,Paychex Inc,51213488388,2024-10-15
DDOG,"Datadog, Inc. Class A Common Stock",42777880652,2024-10-15
FITB,Fifth Third Bancorp,30179609751,2024-10-15
ALNY,"Alnylam Pharmaceuticals, Inc.",36891424216,2024-10-15
UAL,"United Airlines Holdings, Inc. Common Stock",21061811743,2024-10-15
GGAL,Grupo Financiero Galicia SA,5816245466,2024-10-16
NVDA,Nvidia Corp,3.33E+12,2024-10-16
AAPL,Apple Inc.,3.52E+12,2024-10-16
AMZN,Amazon.Com Inc,1.96E+12,2024-10-16
META,"Meta Platforms, Inc. Class A Common Stock",1.46E+12,2024-10-16
CRESY,Cresud SA,531040376.2,2024-10-16
AVGO,Broadcom Inc. Common Stock,8.26E+11,2024-10-16
APP,Applovin Corporation Class A Common Stock,48415907827,2024-10-16
MU,"Micron Technology, Inc.",1.21E+11,2024-10-16
ADI,"Analog Devices, Inc.",1.13E+11,2024-10-16
INTC,Intel Corp,95397560000,2024-10-16
MELI,"Mercado Libre, Inc",1.04E+11,2024-10-16
FANG,"Diamondback Energy, Inc.",53413795273,2024-10-16
MNST,Monster Beverage Corporation,56164273828,2024-10-16
AEP,"American Electric Power Company, Inc.",53914397893,2024-10-16
PAYX,Paychex Inc,51206290428,2024-10-16
DDOG,"Datadog, Inc. Class A Common Stock",42481186650,2024-10-16
FITB,Fifth Third Bancorp,30402661738,2024-10-16
ALNY,"Alnylam Pharmaceuticals, Inc.",38584763182,2024-10-16
UAL,"United Airlines Holdings, Inc. Common Stock",23680973813,2024-10-16
GGAL,Grupo Financiero Galicia SA,5813863711,2024-10-17
NVDA,Nvidia Corp,3.36E+12,2024-10-17
AAPL,Apple Inc.,3.53E+12,2024-10-17
AMZN,Amazon.Com Inc,1.97E+12,2024-10-17
META,"Meta Platforms, Inc. Class A Common Stock",1.46E+12,2024-10-17
CRESY,Cresud SA,540587169.5,2024-10-17
AVGO,Broadcom Inc. Common Stock,8.48E+11,2024-10-17
APP,Applovin Corporation Class A Common Stock,47797547941,2024-10-17
MU,"Micron Technology, Inc.",1.24E+11,2024-10-17
ADI,"Analog Devices, Inc.",1.13E+11,2024-10-17
INTC,Intel Corp,95953440000,2024-10-17
MELI,"Mercado Libre, Inc",1.05E+11,2024-10-17
FANG,"Diamondback Energy, Inc.",53852909012,2024-10-17
MNST,Monster Beverage Corporation,56017521340,2024-10-17
AEP,"American Electric Power Company, Inc.",53696228695,2024-10-17
PAYX,Paychex Inc,51220686349,2024-10-17
DDOG,"Datadog, Inc. Class A Common Stock",42555360151,2024-10-17
FITB,Fifth Third Bancorp,30666268631,2024-10-17
ALNY,"Alnylam Pharmaceuticals, Inc.",38096917233,2024-10-17
UAL,"United Airlines Holdings, Inc. Common Stock",24116469747,2024-10-17
GGAL,Grupo Financiero Galicia SA,6028221652,2024-10-18
NVDA,Nvidia Corp,3.39E+12,2024-10-18
AAPL,Apple Inc.,3.57E+12,2024-10-18
AMZN,Amazon.Com Inc,1.98E+12,2024-10-18
META,"Meta Platforms, Inc. Class A Common Stock",1.46E+12,2024-10-18
CRESY,Cresud SA,534023749.1,2024-10-18
AVGO,Broadcom Inc. Common Stock,8.40E+11,2024-10-18
APP,Applovin Corporation Class A Common Stock,48539579804,2024-10-18
MU,"Micron Technology, Inc.",1.23E+11,2024-10-18
ADI,"Analog Devices, Inc.",1.13E+11,2024-10-18
INTC,Intel Corp,97364520000,2024-10-18
MELI,"Mercado Libre, Inc",1.05E+11,2024-10-18
FANG,"Diamondback Energy, Inc.",53861691287,2024-10-18
MNST,Monster Beverage Corporation,56656942897,2024-10-18
AEP,"American Electric Power Company, Inc.",53579162297,2024-10-18
PAYX,Paychex Inc,50936366912,2024-10-18
DDOG,"Datadog, Inc. Class A Common Stock",43195949473,2024-10-18
FITB,Fifth Third Bancorp,30208936230,2024-10-18
ALNY,"Alnylam Pharmaceuticals, Inc.",37991645212,2024-10-18
UAL,"United Airlines Holdings, Inc. Common Stock",24386147985,2024-10-18
GGAL,Grupo Financiero Galicia SA,6029412529,2024-10-21
NVDA,Nvidia Corp,3.53E+12,2024-10-21
AAPL,Apple Inc.,3.60E+12,2024-10-21
AMZN,Amazon.Com Inc,1.98E+12,2024-10-21
META,"Meta Platforms, Inc. Class A Common Stock",1.46E+12,2024-10-21
CRESY,Cresud SA,530443701.6,2024-10-21
AVGO,Broadcom Inc. Common Stock,8.41E+11,2024-10-21
APP,Applovin Corporation Class A Common Stock,53095388045,2024-10-21
MU,"Micron Technology, Inc.",1.21E+11,2024-10-21
ADI,"Analog Devices, Inc.",1.12E+11,2024-10-21
INTC,Intel Corp,97663840000,2024-10-21
MELI,"Mercado Libre, Inc",1.06E+11,2024-10-21
FANG,"Diamondback Energy, Inc.",53399158148,2024-10-21
MNST,Monster Beverage Corporation,56363437920,2024-10-21
AEP,"American Electric Power Company, Inc.",53297138699,2024-10-21
PAYX,Paychex Inc,50778011783,2024-10-21
DDOG,"Datadog, Inc. Class A Common Stock",42417127718,2024-10-21
FITB,Fifth Third Bancorp,29329786530,2024-10-21
ALNY,"Alnylam Pharmaceuticals, Inc.",37488393601,2024-10-21
UAL,"United Airlines Holdings, Inc. Common Stock",24336816600,2024-10-21
GGAL,Grupo Financiero Galicia SA,6018694632,2024-10-22
NVDA,Nvidia Corp,3.52E+12,2024-10-22
AAPL,Apple Inc.,3.59E+12,2024-10-22
AMZN,Amazon.Com Inc,1.99E+12,2024-10-22
META,"Meta Platforms, Inc. Class A Common Stock",1.47E+12,2024-10-22
CRESY,Cresud SA,527460328.7,2024-10-22
AVGO,Broadcom Inc. Common Stock,8.38E+11,2024-10-22
APP,Applovin Corporation Class A Common Stock,53128812904,2024-10-22
MU,"Micron Technology, Inc.",1.20E+11,2024-10-22
ADI,"Analog Devices, Inc.",1.11E+11,2024-10-22
INTC,Intel Corp,95782400000,2024-10-22
MELI,"Mercado Libre, Inc",1.05E+11,2024-10-22
FANG,"Diamondback Energy, Inc.",53873400987,2024-10-22
MNST,Monster Beverage Corporation,56185238470,2024-10-22
AEP,"American Electric Power Company, Inc.",53153466301,2024-10-22
PAYX,Paychex Inc,50867986288,2024-10-22
DDOG,"Datadog, Inc. Class A Common Stock",42015916511,2024-10-22
FITB,Fifth Third Bancorp,29525904540,2024-10-22
ALNY,"Alnylam Pharmaceuticals, Inc.",38062254494,2024-10-22
UAL,"United Airlines Holdings, Inc. Common Stock",24497965791,2024-10-22
GGAL,Grupo Financiero Galicia SA,5926997069,2024-10-23
NVDA,Nvidia Corp,3.42E+12,2024-10-23
AAPL,Apple Inc.,3.51E+12,2024-10-23
AMZN,Amazon.Com Inc,1.94E+12,2024-10-23
META,"Meta Platforms, Inc. Class A Common Stock",1.43E+12,2024-10-23
CRESY,Cresud SA,528057003.3,2024-10-23
AVGO,Broadcom Inc. Common Stock,8.10E+11,2024-10-23
APP,Applovin Corporation Class A Common Stock,53279224768,2024-10-23
MU,"Micron Technology, Inc.",1.16E+11,2024-10-23
ADI,"Analog Devices, Inc.",1.13E+11,2024-10-23
INTC,Intel Corp,93986480000,2024-10-23
MELI,"Mercado Libre, Inc",1.03E+11,2024-10-23
FANG,"Diamondback Energy, Inc.",53021520332,2024-10-23
MNST,Monster Beverage Corporation,56143309187,2024-10-23
AEP,"American Electric Power Company, Inc.",53653659096,2024-10-23
PAYX,Paychex Inc,50900377110,2024-10-23
DDOG,"Datadog, Inc. Class A Common Stock",40970744458,2024-10-23
FITB,Fifth Third Bancorp,29667921030,2024-10-23
ALNY,"Alnylam Pharmaceuticals, Inc.",37855561868,2024-10-23
UAL,"United Airlines Holdings, Inc. Common Stock",24155934855,2024-10-23
GGAL,Grupo Financiero Galicia SA,6303314343,2024-10-24
NVDA,Nvidia Corp,3.44E+12,2024-10-24
AAPL,Apple Inc.,3.51E+12,2024-10-24
AMZN,Amazon.Com Inc,1.96E+12,2024-10-24
META,"Meta Platforms, Inc. Class A Common Stock",1.44E+12,2024-10-24
CRESY,Cresud SA,553117335.7,2024-10-24
AVGO,Broadcom Inc. Common Stock,8.00E+11,2024-10-24
APP,Applovin Corporation Class A Common Stock,53145525333,2024-10-24
MU,"Micron Technology, Inc.",1.18E+11,2024-10-24
ADI,"Analog Devices, Inc.",1.14E+11,2024-10-24
INTC,Intel Corp,95525840000,2024-10-24
MELI,"Mercado Libre, Inc",1.04E+11,2024-10-24
FANG,"Diamondback Energy, Inc.",52960044409,2024-10-24
MNST,Monster Beverage Corporation,56017521340,2024-10-24
AEP,"American Electric Power Company, Inc.",52887406303,2024-10-24
PAYX,Paychex Inc,50990351615,2024-10-24
DDOG,"Datadog, Inc. Class A Common Stock",41769795350,2024-10-24
FITB,Fifth Third Bancorp,29796412140,2024-10-24
ALNY,"Alnylam Pharmaceuticals, Inc.",37704072863,2024-10-24
UAL,"United Airlines Holdings, Inc. Common Stock",24504543309,2024-10-24
GGAL,Grupo Financiero Galicia SA,6417638578,2024-10-25
NVDA,Nvidia Corp,3.47E+12,2024-10-25
AAPL,Apple Inc.,3.52E+12,2024-10-25
AMZN,Amazon.Com Inc,1.97E+12,2024-10-25
META,"Meta Platforms, Inc. Class A Common Stock",1.45E+12,2024-10-25
CRESY,Cresud SA,568630874.7,2024-10-25
AVGO,Broadcom Inc. Common Stock,8.08E+11,2024-10-25
APP,Applovin Corporation Class A Common Stock,54024599117,2024-10-25
MU,"Micron Technology, Inc.",1.20E+11,2024-10-25
ADI,"Analog Devices, Inc.",1.14E+11,2024-10-25
INTC,Intel Corp,96979680000,2024-10-25
MELI,"Mercado Libre, Inc",1.04E+11,2024-10-25
FANG,"Diamondback Energy, Inc.",53975860859,2024-10-25
MNST,Monster Beverage Corporation,55944145096,2024-10-25
AEP,"American Electric Power Company, Inc.",52248862309,2024-10-25
PAYX,Paychex Inc,50504489287,2024-10-25
DDOG,"Datadog, Inc. Class A Common Stock",42683478015,2024-10-25
FITB,Fifth Third Bancorp,29228346180,2024-10-25
ALNY,"Alnylam Pharmaceuticals, Inc.",36570472933,2024-10-25
UAL,"United Airlines Holdings, Inc. Common Stock",24547297176,2024-10-25
GGAL,Grupo Financiero Galicia SA,6443837882,2024-10-28
NVDA,Nvidia Corp,3.45E+12,2024-10-28
AAPL,Apple Inc.,3.55E+12,2024-10-28
AMZN,Amazon.Com Inc,1.98E+12,2024-10-28
META,"Meta Platforms, Inc. Class A Common Stock",1.46E+12,2024-10-28
CRESY,Cresud SA,556100708.6,2024-10-28
AVGO,Broadcom Inc. Common Stock,8.03E+11,2024-10-28
APP,Applovin Corporation Class A Common Stock,55547101431,2024-10-28
MU,"Micron Technology, Inc.",1.18E+11,2024-10-28
ADI,"Analog Devices, Inc.",1.14E+11,2024-10-28
INTC,Intel Corp,98005920000,2024-10-28
MELI,"Mercado Libre, Inc",1.04E+11,2024-10-28
FANG,"Diamondback Energy, Inc.",52163784828,2024-10-28
MNST,Monster Beverage Corporation,55661122439,2024-10-28
AEP,"American Electric Power Company, Inc.",52738412704,2024-10-28
PAYX,Paychex Inc,50482895406,2024-10-28
DDOG,"Datadog, Inc. Class A Common Stock",42605932992,2024-10-28
FITB,Fifth Third Bancorp,29789649450,2024-10-28
ALNY,"Alnylam Pharmaceuticals, Inc.",36833652985,2024-10-28
UAL,"United Airlines Holdings, Inc. Common Stock",25024167231,2024-10-28
GGAL,Grupo Financiero Galicia SA,6374766990,2024-10-29
NVDA,Nvidia Corp,3.46E+12,2024-10-29
AAPL,Apple Inc.,3.55E+12,2024-10-29
AMZN,Amazon.Com Inc,2.00E+12,2024-10-29
META,"Meta Platforms, Inc. Class A Common Stock",1.50E+12,2024-10-29
CRESY,Cresud SA,579371017.2,2024-10-29
AVGO,Broadcom Inc. Common Stock,8.37E+11,2024-10-29
APP,Applovin Corporation Class A Common Stock,57570976625,2024-10-29
MU,"Micron Technology, Inc.",1.20E+11,2024-10-29
ADI,"Analog Devices, Inc.",1.17E+11,2024-10-29
INTC,Intel Corp,97920400000,2024-10-29
MELI,"Mercado Libre, Inc",1.03E+11,2024-10-29
FANG,"Diamondback Energy, Inc.",51417291471,2024-10-29
MNST,Monster Beverage Corporation,55011218561,2024-10-29
AEP,"American Electric Power Company, Inc.",51823166313,2024-10-29
PAYX,Paychex Inc,51058732239,2024-10-29
DDOG,"Datadog, Inc. Class A Common Stock",43411726929,2024-10-29
FITB,Fifth Third Bancorp,29759217345,2024-10-29
ALNY,"Alnylam Pharmaceuticals, Inc.",36548648246,2024-10-29
UAL,"United Airlines Holdings, Inc. Common Stock",25300422987,2024-10-29
GGAL,Grupo Financiero Galicia SA,6223525554,2024-10-30
NVDA,Nvidia Corp,3.42E+12,2024-10-30
AAPL,Apple Inc.,3.50E+12,2024-10-30
AMZN,Amazon.Com Inc,2.02E+12,2024-10-30
META,"Meta Platforms, Inc. Class A Common Stock",1.50E+12,2024-10-30
CRESY,Cresud SA,575790969.7,2024-10-30
AVGO,Broadcom Inc. Common Stock,8.25E+11,2024-10-30
APP,Applovin Corporation Class A Common Stock,57373769959,2024-10-30
MU,"Micron Technology, Inc.",1.15E+11,2024-10-30
ADI,"Analog Devices, Inc.",1.14E+11,2024-10-30
INTC,Intel Corp,95354800000,2024-10-30
MELI,"Mercado Libre, Inc",1.02E+11,2024-10-30
FANG,"Diamondback Energy, Inc.",51712961388,2024-10-30
MNST,Monster Beverage Corporation,55137006409,2024-10-30
AEP,"American Electric Power Company, Inc.",51828487513,2024-10-30
PAYX,Paychex Inc,50885981189,2024-10-30
DDOG,"Datadog, Inc. Class A Common Stock",43209435564,2024-10-30
FITB,Fifth Third Bancorp,29809937520,2024-10-30
ALNY,"Alnylam Pharmaceuticals, Inc.",36137830604,2024-10-30
UAL,"United Airlines Holdings, Inc. Common Stock",26448199878,2024-10-30
GGAL,Grupo Financiero Galicia SA,6278305916,2024-10-31
NVDA,Nvidia Corp,3.26E+12,2024-10-31
AAPL,Apple Inc.,3.43E+12,2024-10-31
AMZN,Amazon.Com Inc,1.96E+12,2024-10-31
META,"Meta Platforms, Inc. Class A Common Stock",1.43E+12,2024-10-31
CRESY,Cresud SA,566244176.4,2024-10-31
AVGO,Broadcom Inc. Common Stock,7.93E+11,2024-10-31
APP,Applovin Corporation Class A Common Stock,56618368152,2024-10-31
MU,"Micron Technology, Inc.",1.10E+11,2024-10-31
ADI,"Analog Devices, Inc.",1.11E+11,2024-10-31
INTC,Intel Corp,92019520000,2024-10-31
MELI,"Mercado Libre, Inc",1.03E+11,2024-10-31
FANG,"Diamondback Energy, Inc.",51748090488,2024-10-31
MNST,Monster Beverage Corporation,55220864973,2024-10-31
